n,A_n_tpi.card
1,6
2,9
3,6
4,8
5,8
6,12
7,14
8,13
9,13
10,17
11,18
12,15
13,17
14,14
15,17
16,19
17,17
18,17
19,19
20,15
21,20
22,27
23,22
24,29
25,26
26,16
27,26
28,23
29,25
30,35
31,27
32,27
33,21
34,28
35,25
36,30
37,38
38,25
39,32
40,31
41,24
42,33
43,27
44,43
45,27
46,30
47,42
48,38
49,34
50,39
51,37
52,42
53,39
54,34
55,38
56,45
57,43
58,43
59,35
60,41
61,45
62,38
63,38
64,49
65,49
66,46
67,40
68,36
69,38
70,58
71,56
72,42
73,44
74,46
75,50
76,53
77,40
78,52
79,48
80,56
81,42
82,51
83,47
84,46
85,50
86,59
87,54
88,53
89,54
90,49
91,52
92,60
93,54
94,71
95,69
96,51
97,50
98,52
99,60
100,57
101,47
102,53
103,56
104,63
105,60
106,62
107,59
108,64
109,73
110,52
111,56
112,64
113,59
114,58
115,61
116,66
117,62
118,61
119,57
120,85
121,58
122,75
123,63
124,64
125,63
126,77
127,75
128,73
129,64
130,73
131,69
132,72
133,73
134,77
135,73
136,70
137,73
138,62
139,70
140,75
141,62
142,71
143,77
144,70
145,66
146,78
147,81
148,77
149,64
150,69
151,94
152,79
153,65
154,83
155,79
156,86
157,86
158,68
159,89
160,89
161,71
162,81
163,90
164,83
165,77
166,84
167,96
168,85
169,89
170,91
171,76
172,93
173,82
174,98
175,89
176,82
177,96
178,87
179,93
180,86
181,100
182,88
183,76
184,89
185,91
186,92
187,98
188,84
189,88
190,92
191,101
192,83
193,116
194,92
195,100
196,96
197,102
198,82
199,90
200,87
201,102
202,96
203,98
204,102
205,105
206,91
207,93
208,107
209,104
210,88
211,102
212,117
213,97
214,95
215,105
216,97
217,114
218,102
219,108
220,107
221,85
222,105
223,114
224,104
225,119
226,100
227,111
228,106
229,99
230,106
231,117
232,97
233,103
234,103
235,109
236,115
237,118
238,104
239,115
240,109
241,94
242,105
243,110
244,111
245,112
246,104
247,103
248,111
249,126
250,112
251,112
252,118
253,99
254,109
255,122
256,122
257,106
258,107
259,111
260,97
261,118
262,115
263,103
264,111
265,110
266,119
267,122
268,118
269,124
270,107
271,135
272,118
273,114
274,131
275,113
276,116
277,123
278,116
279,122
280,119
281,117
282,114
283,114
284,107
285,121
286,118
287,143
288,124
289,125
290,110
291,126
292,141
293,145
294,117
295,130
296,120
297,130
298,143
299,137
300,116
301,132
302,121
303,138
304,121
305,125
306,129
307,151
308,134
309,125
310,124
311,124
312,130
313,133
314,140
315,126
316,146
317,151
318,135
319,136
320,142
321,144
322,132
323,129
324,133
325,137
326,150
327,131
328,145
329,132
330,145
331,145
332,122
333,135
334,155
335,154
336,130
337,143
338,124
339,147
340,142
341,142
342,140
343,141
344,134
345,138
346,131
347,131
348,142
349,145
350,156
351,132
352,154
353,132
354,144
355,136
356,144
357,142
358,138
359,141
360,161
361,142
362,145
363,138
364,138
365,128
366,153
367,154
368,137
369,167
370,143
371,138
372,153
373,138
374,135
375,147
376,135
377,147
378,156
379,151
380,148
381,148
382,148
383,142
384,160
385,150
386,142
387,165
388,149
389,179
390,143
391,171
392,149
393,163
394,157
395,148
396,152
397,140
398,166
399,151
400,162
401,158
402,156
403,160
404,165
405,169
406,159
407,151
408,179
409,156
410,155
411,164
412,187
413,158
414,157
415,174
416,160
417,163
418,154
419,157
420,161
421,155
422,148
423,160
424,168
425,178
426,147
427,169
428,165
429,152
430,162
431,159
432,159
433,168
434,158
435,157
436,171
437,169
438,173
439,183
440,169
441,163
442,175
443,156
444,175
445,155
446,179
447,175
448,169
449,170
450,176
451,174
452,166
453,170
454,181
455,189
456,166
457,187
458,179
459,193
460,169
461,169
462,179
463,191
464,182
465,188
466,187
467,165
468,185
469,175
470,183
471,192
472,165
473,189
474,154
475,164
476,203
477,175
478,192
479,190
480,170
481,168
482,186
483,190
484,175
485,190
486,184
487,201
488,187
489,198
490,202
491,165
492,180
493,182
494,184
495,175
496,186
497,195
498,197
499,181
500,170
501,182
502,193
503,185
504,187
505,182
506,174
507,193
508,202
509,195
510,180
511,187
512,198
513,177
514,177
515,204
516,193
517,207
518,199
519,194
520,202
521,213
522,186
523,176
524,182
525,184
526,186
527,200
528,200
529,189
530,206
531,195
532,192
533,205
534,217
535,171
536,196
537,174
538,221
539,188
540,199
541,183
542,187
543,221
544,190
545,221
546,190
547,188
548,203
549,202
550,205
551,194
552,176
553,175
554,217
555,195
556,218
557,206
558,207
559,197
560,184
561,195
562,201
563,205
564,203
565,203
566,213
567,203
568,185
569,212
570,213
571,192
572,202
573,190
574,202
575,194
576,231
577,216
578,206
579,199
580,212
581,202
582,215
583,227
584,195
585,195
586,215
587,220
588,216
589,202
590,179
591,206
592,220
593,190
594,226
595,216
596,218
597,200
598,207
599,189
600,211
601,217
602,202
603,204
604,208
605,217
606,210
607,201
608,224
609,231
610,224
611,214
612,218
613,208
614,228
615,203
616,225
617,214
618,208
619,223
620,218
621,234
622,206
623,216
624,237
625,216
626,226
627,216
628,232
629,251
630,217
631,232
632,213
633,194
634,203
635,237
636,227
637,201
638,226
639,224
640,218
641,212
642,246
643,197
644,238
645,246
646,238
647,231
648,222
649,210
650,223
651,230
652,237
653,240
654,233
655,213
656,263
657,224
658,241
659,222
660,235
661,231
662,214
663,229
664,231
665,232
666,221
667,218
668,222
669,247
670,213
671,228
672,228
673,211
674,242
675,254
676,248
677,216
678,243
679,259
680,230
681,225
682,227
683,236
684,222
685,258
686,232
687,242
688,235
689,230
690,240
691,244
692,232
693,256
694,207
695,236
696,239
697,250
698,256
699,227
700,227
701,252
702,263
703,255
704,237
705,226
706,269
707,226
708,230
709,225
710,228
711,244
712,258
713,241
714,241
715,229
716,235
717,256
718,244
719,267
720,219
721,270
722,254
723,240
724,260
725,242
726,244
727,249
728,254
729,257
730,222
731,232
732,247
733,269
734,247
735,239
736,233
737,240
738,257
739,237
740,236
741,246
742,243
743,224
744,246
745,264
746,259
747,251
748,269
749,236
750,230
751,265
752,269
753,257
754,238
755,263
756,248
757,244
758,277
759,245
760,246
761,264
762,271
763,251
764,282
765,244
766,258
767,251
768,248
769,244
770,273
771,256
772,260
773,264
774,263
775,232
776,267
777,246
778,255
779,247
780,267
781,243
782,263
783,237
784,265
785,250
786,251
787,269
788,267
789,264
790,267
791,281
792,270
793,240
794,275
795,255
796,263
797,261
798,270
799,282
800,257
801,258
802,259
803,265
804,287
805,262
806,255
807,292
808,262
809,297
810,280
811,275
812,260
813,247
814,268
815,257
816,282
817,290
818,257
819,288
820,269
821,267
822,272
823,253
824,264
825,288
826,271
827,262
828,301
829,278
830,250
831,269
832,279
833,298
834,260
835,260
836,255
837,233
838,271
839,252
840,277
841,290
842,284
843,280
844,276
845,286
846,303
847,276
848,295
849,282
850,268
851,283
852,281
853,271
854,273
855,252
856,306
857,256
858,285
859,284
860,290
861,271
862,284
863,249
864,273
865,297
866,284
867,305
868,271
869,271
870,257
871,253
872,287
873,257
874,293
875,272
876,283
877,262
878,301
879,288
880,307
881,289
882,280
883,298
884,256
885,250
886,278
887,298
888,285
889,332
890,293
891,281
892,279
893,287
894,283
895,293
896,295
897,301
898,297
899,281
900,303
901,272
902,281
903,295
904,269
905,286
906,294
907,284
908,285
909,256
910,299
911,305
912,331
913,295
914,281
915,278
916,319
917,325
918,305
919,271
920,293
921,299
922,289
923,313
924,271
925,314
926,310
927,265
928,298
929,311
930,308
931,300
932,291
933,298
934,289
935,301
936,284
937,320
938,301
939,295
940,307
941,282
942,329
943,295
944,333
945,285
946,306
947,286
948,277
949,286
950,271
951,306
952,316
953,263
954,300
955,325
956,312
957,287
958,293
959,317
960,301
961,314
962,308
963,302
964,330
965,303
966,325
967,313
968,277
969,319
970,317
971,290
972,312
973,329
974,289
975,298
976,283
977,310
978,300
979,321
980,315
981,303
982,289
983,285
984,334
985,340
986,283
987,274
988,310
989,300
990,324
991,307
992,290
993,311
994,340
995,330
996,333
997,311
998,305
999,289
1000,331
