n,dim,rank,mu_min,basis_index,weight_magnitude
5,46,46,0.0572702852,(1; 8),0.172267
5,46,46,0.0572702852,(2; 8),0.162903
5,46,46,0.0572702852,(0; 2),-0.153919
5,46,46,0.0572702852,(0; 6),-0.150668
5,46,46,0.0572702852,(1; 6),-0.141129
5,46,46,0.0572702852,(0; 3),-0.134331
5,46,46,0.0572702852,(3; 7),0.132261
5,46,46,0.0572702852,(1; 7),-0.126776
5,46,46,0.0572702852,(2; 4),-0.113035
5,46,46,0.0572702852,(3;),-0.109183
5,46,46,0.0572702852,(4;),-0.106584
5,46,46,0.0572702852,(6; 8),-0.102985
5,46,46,0.0572702852,(1; 4),-0.098960
5,46,46,0.0572702852,(2;),-0.095058
5,46,46,0.0572702852,(2; 3),-0.091345
5,46,46,0.0572702852,(5; 8),-0.089531
5,46,46,0.0572702852,(3; 5),0.078221
5,46,46,0.0572702852,(0; 8),0.075510
5,46,46,0.0572702852,(8;),0.075256
5,46,46,0.0572702852,(1; 2),0.066097
5,46,46,0.0572702852,(0; 4),-0.060111
5,46,46,0.0572702852,(0; 5),0.047877
5,46,46,0.0572702852,(5;),0.047627
5,46,46,0.0572702852,(4; 5),-0.045532
5,46,46,0.0572702852,(1; 3),-0.044794
5,46,46,0.0572702852,(2; 7),-0.040407
5,46,46,0.0572702852,(4; 6),-0.039990
5,46,46,0.0572702852,(6; 7),-0.039882
5,46,46,0.0572702852,(7;),-0.037032
5,46,46,0.0572702852,(0;),-0.035203
5,46,46,0.0572702852,(5; 7),0.033996
5,46,46,0.0572702852,(4; 8),0.029694
5,46,46,0.0572702852,(2; 6),-0.028341
5,46,46,0.0572702852,(2; 5),0.028295
5,46,46,0.0572702852,(),-0.027582
5,46,46,0.0572702852,(3; 4),-0.027207
5,46,46,0.0572702852,(1; 5),-0.023494
5,46,46,0.0572702852,(7; 8),0.022024
5,46,46,0.0572702852,(4; 7),-0.019876
5,46,46,0.0572702852,(6;),-0.019449
5,46,46,0.0572702852,(0; 1),-0.012895
5,46,46,0.0572702852,(5; 6),-0.011515
5,46,46,0.0572702852,(0; 7),0.011247
5,46,46,0.0572702852,(3; 8),-0.009545
5,46,46,0.0572702852,(3; 6),0.006274
5,46,46,0.0572702852,(1;),-0.004912
6,56,56,0.0086808137,(1; 2),-0.249463
6,56,56,0.0086808137,(0; 7),-0.214541
6,56,56,0.0086808137,(6; 8),-0.164288
6,56,56,0.0086808137,(2; 3),0.133186
6,56,56,0.0086808137,(6; 7),-0.123656
6,56,56,0.0086808137,(1; 5),0.109668
6,56,56,0.0086808137,(4; 5),0.099648
6,56,56,0.0086808137,(3; 9),-0.096259
6,56,56,0.0086808137,(3; 8),0.089425
6,56,56,0.0086808137,(3;),0.085673
6,56,56,0.0086808137,(2;),0.084870
6,56,56,0.0086808137,(3; 6),-0.081276
6,56,56,0.0086808137,(5;),-0.077586
6,56,56,0.0086808137,(5; 9),-0.077442
6,56,56,0.0086808137,(1; 4),0.074367
6,56,56,0.0086808137,(1; 7),0.073847
6,56,56,0.0086808137,(0; 4),0.071034
6,56,56,0.0086808137,(0; 8),0.070988
6,56,56,0.0086808137,(0; 5),0.066769
6,56,56,0.0086808137,(8; 9),-0.063858
6,56,56,0.0086808137,(1; 9),-0.061076
6,56,56,0.0086808137,(0; 3),0.058395
6,56,56,0.0086808137,(2; 6),-0.057581
6,56,56,0.0086808137,(7; 9),-0.053950
6,56,56,0.0086808137,(3; 5),0.051875
6,56,56,0.0086808137,(5; 7),-0.049463
6,56,56,0.0086808137,(2; 8),-0.048573
6,56,56,0.0086808137,(8;),0.048459
6,56,56,0.0086808137,(1; 8),0.047755
6,56,56,0.0086808137,(4; 9),0.041715
6,56,56,0.0086808137,(6;),-0.040932
6,56,56,0.0086808137,(0; 6),0.039970
6,56,56,0.0086808137,(3; 7),0.039026
6,56,56,0.0086808137,(3; 4),0.038890
6,56,56,0.0086808137,(0; 9),-0.037325
6,56,56,0.0086808137,(7;),0.032271
6,56,56,0.0086808137,(0; 2),0.029996
6,56,56,0.0086808137,(4; 8),-0.028311
6,56,56,0.0086808137,(),0.024986
6,56,56,0.0086808137,(2; 5),-0.024013
6,56,56,0.0086808137,(9;),-0.022338
6,56,56,0.0086808137,(4;),0.021053
6,56,56,0.0086808137,(2; 9),-0.020990
6,56,56,0.0086808137,(2; 7),-0.020375
6,56,56,0.0086808137,(2; 4),-0.017788
6,56,56,0.0086808137,(0;),0.014154
6,56,56,0.0086808137,(4; 6),0.013338
6,56,56,0.0086808137,(1; 6),-0.011868
6,56,56,0.0086808137,(1; 3),0.010329
6,56,56,0.0086808137,(5; 8),0.008967
6,56,56,0.0086808137,(4; 7),0.006701
6,56,56,0.0086808137,(0; 1),-0.004762
6,56,56,0.0086808137,(5; 6),0.002682
6,56,56,0.0086808137,(6; 9),-0.002477
6,56,56,0.0086808137,(7; 8),0.002431
6,56,56,0.0086808137,(1;),-0.000432
7,79,79,-0.0000000000,(5; 10),0.400928
7,79,79,-0.0000000000,(5; 11),-0.285915
7,79,79,-0.0000000000,(6; 8),0.285896
7,79,79,-0.0000000000,(4;),0.275440
7,79,79,-0.0000000000,(8; 9),0.253753
7,79,79,-0.0000000000,(7; 10),-0.218573
7,79,79,-0.0000000000,(4; 5),-0.198068
7,79,79,-0.0000000000,(1; 2),0.187824
7,79,79,-0.0000000000,(8; 11),-0.182660
7,79,79,-0.0000000000,(3;),-0.175756
7,79,79,-0.0000000000,(10; 11),0.174577
7,79,79,-0.0000000000,(10;),-0.171929
7,79,79,-0.0000000000,(0; 1),-0.158670
7,79,79,-0.0000000000,(0; 11),-0.156950
7,79,79,-0.0000000000,(9; 11),0.152548
7,79,79,-0.0000000000,(4; 11),-0.147724
7,79,79,-0.0000000000,(0; 6),0.144711
7,79,79,-0.0000000000,(7; 11),-0.143856
7,79,79,-0.0000000000,(0; 2),0.131717
7,79,79,-0.0000000000,(6;),-0.127291
7,79,79,-0.0000000000,(3; 7),0.125655
7,79,79,-0.0000000000,(5; 9),0.118571
7,79,79,-0.0000000000,(2; 8),-0.111831
7,79,79,-0.0000000000,(11;),0.111808
7,79,79,-0.0000000000,(3; 11),0.103479
7,79,79,-0.0000000000,(1; 5),0.088853
7,79,79,-0.0000000000,(6; 7),0.088110
7,79,79,-0.0000000000,(9;),-0.083993
7,79,79,-0.0000000000,(2; 10),0.079463
