n,k,dim,rank,N,mu_min
5,2,46,46,64,0.0572702852
6,2,56,56,76,0.0086808137
7,2,79,79,88,-0.0000000000
8,2,92,92,100,-0.0000000000
9,2,106,106,112,-0.0000000000
10,2,137,124,124,-0.0000000000
11,2,154,136,136,-0.0000000000
12,2,191,148,148,-0.0000000000
13,2,211,160,160,-0.0000000000
14,2,232,171,172,-0.0000000000
15,2,254,182,184,-0.0000000000
16,2,277,193,196,-0.0000000000
17,2,326,205,208,-0.0000000000
18,2,379,217,220,-0.0000000000
19,2,407,227,232,-0.0000000000
20,2,407,234,244,-0.0000000000
21,2,436,244,256,-0.0000000000
22,2,466,253,268,-0.0000000000
23,2,529,266,280,-0.0000000000
24,2,529,273,292,-0.0000000000
25,2,596,285,304,-0.0000000000
26,2,631,294,316,0.0024592841
27,2,667,304,328,-0.0000000000
28,2,704,313,340,0.0007579739
29,2,742,322,352,0.0000025530
30,2,821,334,364,-0.0000000000
31,2,821,341,376,0.0000076078
32,2,904,352,388,0.0064813435
33,2,991,364,400,0.0000000089
34,2,991,371,412,0.0001252517
35,2,1036,380,424,0.0031951140
36,2,1036,386,436,0.0000961838
37,2,1082,397,448,0.0000200937
38,2,1177,406,460,0.0258603276
39,2,1226,413,472,0.0161517142
40,2,1327,426,484,0.0072050609
41,2,1327,432,496,0.0000000305
42,2,1379,440,508,0.0032406509
43,2,1432,449,520,0.0002520978
44,2,1486,456,532,0.0003160999
45,2,1597,466,544,0.0000007211
46,2,1654,474,556,0.0266979892
47,2,1771,482,568,0.0004376839
48,2,1771,489,580,0.0001713839
49,2,1831,497,592,0.0255729008
50,2,1831,503,604,0.0407508165
51,2,1892,512,616,0.0642892342
52,2,2017,519,628,0.0046930103
53,2,2081,526,640,0.0001797652
54,2,2081,535,652,0.0072273419
55,2,2146,541,664,0.0451420511
56,2,2212,548,676,0.0070867920
57,2,2212,554,688,0.0490948418
58,2,2347,564,700,0.0768626868
59,2,2416,571,712,0.1236902055
60,2,2486,578,724,0.0121335676
61,2,2557,587,736,0.0179922215
62,2,2629,594,748,0.0021772077
63,2,2702,600,760,0.0000022120
64,2,2776,606,772,0.0605557499
65,2,2851,614,784,0.0036777890
66,2,2927,620,796,0.0311541178
67,2,3004,628,808,0.1302803642
68,2,3082,634,820,0.0043546025
69,2,3082,638,832,0.1652408663
70,2,3241,648,844,0.0682741730
71,2,3241,655,856,0.0001270864
72,2,3404,661,868,0.0711555496
73,2,3487,667,880,0.0994839942
74,2,3571,675,892,0.0320303134
75,2,3656,681,904,0.1146000651
76,2,3742,689,916,0.1508446067
77,2,3917,696,928,0.0000054535
78,2,4006,702,940,0.0206944033
79,2,4006,706,952,0.1153123294
80,2,4096,715,964,0.2180992561
81,2,4187,721,976,0.0002848317
82,2,4279,727,988,0.0864399864
83,2,4372,734,1000,0.1689798392
84,2,4466,741,1012,0.1603486117
85,2,4561,747,1024,0.0647727456
86,2,4561,752,1036,0.0384249457
87,2,4754,760,1048,0.1140911172
88,2,4754,764,1060,0.0055597198
89,2,4754,769,1072,0.0114370805
90,2,4852,778,1084,0.0062801477
91,2,4951,784,1096,0.1651191214
92,2,4951,792,1108,0.0023790529
93,2,5051,798,1120,0.1419944237
94,2,5152,803,1132,0.2455642602
95,2,5357,811,1144,0.0583490434
96,2,5461,816,1156,0.0096520983
97,2,5461,822,1168,0.0904284093
98,2,5566,828,1180,0.1580876634
99,2,5672,836,1192,0.1902493503
100,2,5887,842,1204,0.0155774150
101,2,5996,847,1216,0.0020332487
102,2,6106,853,1228,0.1413915768
103,2,6329,859,1240,0.0086436453
104,2,6329,865,1252,0.2081018222
105,2,6442,871,1264,0.1744215590
106,2,6442,878,1276,0.0221942474
107,2,6671,883,1288,0.0000258111
108,2,6787,890,1300,0.1871344709
109,2,6904,895,1312,0.2114071180
110,2,7141,901,1324,0.3252491087
111,2,7141,905,1336,0.1826513822
112,2,7261,915,1348,0.0101750000
113,2,7382,917,1360,0.2000779383
114,2,7504,926,1372,0.0031038162
115,2,7627,931,1384,0.2460883172
116,2,7627,935,1396,0.0627531244
117,2,7751,944,1408,0.2548788285
118,2,7876,949,1420,0.2308475100
119,2,7876,955,1432,0.0019836169
120,2,8002,962,1444,0.0298682368
121,2,8129,967,1456,0.3367999291
122,2,8257,974,1468,0.0000342644
123,2,8386,978,1480,0.0083497667
124,2,8516,983,1492,0.0518394063
125,2,8647,989,1504,0.1203863552
126,2,8779,997,1516,0.0016887816
127,2,8912,1001,1528,0.1136945816
128,2,9046,1009,1540,0.0000171929
129,2,9181,1014,1552,0.1581338536
130,2,9181,1020,1564,0.1363198175
131,2,9317,1027,1576,0.0177103955
132,2,9317,1032,1588,0.1725594903
133,2,9454,1036,1600,0.0128067719
134,2,9454,1044,1612,0.0963938463
135,2,9731,1049,1624,0.1461891611
136,2,9731,1054,1636,0.1355388113
137,2,10012,1062,1648,0.0035409507
138,2,10297,1066,1660,0.3658880861
139,2,10297,1071,1672,0.3993517986
140,2,10441,1080,1684,0.2931510418
141,2,10441,1082,1696,0.2560449161
142,2,10586,1086,1708,0.0126478923
143,2,10879,1096,1720,0.0044781385
144,2,11027,1101,1732,0.3770481943
145,2,11027,1104,1744,0.0675143739
146,2,11176,1111,1756,0.0440683260
147,2,11477,1116,1768,0.0912008243
148,2,11629,1122,1780,0.1625826926
149,2,11629,1126,1792,0.1725799653
150,2,11629,1135,1804,0.0168894791
151,2,11782,1136,1816,0.0010844961
152,2,11936,1142,1828,0.0744530157
153,2,12091,1148,1840,0.2782192477
154,2,12091,1153,1852,0.3100409307
155,2,12247,1160,1864,0.4427563446
156,2,12404,1167,1876,0.3506111442
157,2,12562,1173,1888,0.3565705980
158,2,12721,1177,1900,0.4517051816
159,2,12881,1181,1912,0.3328040810
160,2,12881,1187,1924,0.1143050818
161,2,13042,1191,1936,0.3455503076
162,2,13204,1199,1948,0.0149589859
163,2,13367,1203,1960,0.3101248849
164,2,13531,1208,1972,0.0141598988
165,2,13696,1215,1984,0.0113782648
166,2,13862,1220,1996,0.0191211208
167,2,13862,1225,2008,0.3019206237
168,2,14029,1229,2020,0.2356403265
169,2,14197,1237,2032,0.0857757174
170,2,14536,1241,2044,0.4159280481
171,2,14536,1246,2056,0.0034646684
172,2,14879,1250,2068,0.0238693558
173,2,15052,1258,2080,0.0000569147
174,2,15052,1262,2092,0.2861060334
175,2,15401,1266,2104,0.0797560519
176,2,15401,1270,2116,0.3209721874
177,2,15754,1279,2128,0.1805566029
178,2,15932,1283,2140,0.3286144109
179,2,15932,1290,2152,0.2914385254
180,2,15932,1295,2164,0.2777357574
181,2,16111,1300,2176,0.0487538038
182,2,16472,1305,2188,0.0615175954
183,2,16654,1308,2200,0.0001068397
184,2,16837,1315,2212,0.4135909828
185,2,17021,1319,2224,0.2664327194
186,2,17206,1324,2236,0.2925568008
187,2,17392,1331,2248,0.3857061379
