n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 12749469617.4320 | 1882521985.4025 | 0.1477         | True
3   | 2.000          | 6035838846648.0381 | 19463597148.7228 | 0.0032         | True
4   | 1.270          | 996558013.4845 | 25236751.4817  | 0.0253         | True
5   | 0.150          | 525.4767       | 299.1387       | 0.5693         | True
6   | 2.000          | 128294006079612.9688 | 24337247192554.5508 | 0.1897         | True
7   | 0.980          | 7305624454.4610 | 6296571720.2688 | 0.8619         | True
8   | 1.850          | 31429483664890760.0000 | 91732815264024.6719 | 0.0029         | True
9   | 1.790          | 7172106217424833.0000 | 792311639718467.2500 | 0.1105         | True
10  | 2.000          | 29456639698468384.0000 | 11469792123790618.0000 | 0.3894         | True
11  | 0.200          | 24018.9544     | 21289.2887     | 0.8864         | True
12  | 1.360          | 663160081757196.2500 | 133181415942578.9688 | 0.2008         | True
13  | 1.200          | 62219578697754.2266 | 2969559639406.0122 | 0.0477         | True
14  | 0.980          | 12042274494647.7344 | 1946400656855.6316 | 0.1616         | True
15  | 0.350          | 44758651.9328  | 49235330.3327  | 1.1000         | False
16  | 0.120          | 8102.4085      | 6895.8496      | 0.8511         | True
17  | 1.260          | 8087078150017552.0000 | 1271342513775168.7500 | 0.1572         | True
18  | 2.000          | 11189088429905903616.0000 | 323202742936726656.0000 | 0.0289         | True
19  | 0.150          | 62420.7829     | 60360.8419     | 0.9670         | True
20  | 0.200          | 279857.3445    | 261124.7544    | 0.9331         | True
21  | 0.070          | 1092.9803      | 1474.5406      | 1.3491         | False
22  | 0.130          | 17947.7886     | 18316.7473     | 1.0206         | False
23  | 0.700          | 1035659398556.7170 | 792846358087.6499 | 0.7655         | True
24  | 0.060          | 1137.3881      | 1461.1342      | 1.2846         | False
25  | 0.200          | 1684768.7965   | 1533034.0119   | 0.9099         | True
26  | 0.680          | 4069962017646.9775 | 3959240845204.6606 | 0.9728         | True
27  | 0.090          | 7848.2510      | 8200.0336      | 1.0448         | False
28  | 0.060          | 1114.3419      | 1694.8940      | 1.5210         | False
29  | 0.170          | 469056.9439    | 458727.3614    | 0.9780         | True
30  | 0.990          | 8486444217506483.0000 | 2238514551693892.2500 | 0.2638         | True
31  | 0.830          | 139592383028014.9062 | 128502354379770.8438 | 0.9206         | True
