n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
--------------------------------------------------------------------------------
2   | 1.080      | 19.5775        | 8.5170         | 0.4350         | True
3   | 0.770      | 26.0398        | 17.6975        | 0.6796         | True
4   | 0.640      | 30.4590        | 23.8727        | 0.7838         | True
5   | 0.680      | 44.3747        | 33.9379        | 0.7648         | True
6   | 0.670      | 53.9363        | 46.1250        | 0.8552         | True
7   | 0.510      | 53.9859        | 57.6553        | 1.0680         | False
8   | 0.730      | 87.5684        | 87.5533        | 0.9998         | True
9   | 0.550      | 78.9283        | 85.6784        | 1.0855         | False
10  | 0.570      | 94.7454        | 110.5346       | 1.1666         | False
11  | 0.500      | 95.1960        | 108.6766       | 1.1416         | False
12  | 0.410      | 91.6357        | 116.7564       | 1.2741         | False
13  | 0.480      | 114.5848       | 135.6939       | 1.1842         | False
14  | 0.520      | 136.5016       | 158.8831       | 1.1640         | False
15  | 0.480      | 137.8436       | 191.7084       | 1.3908         | False
16  | 0.500      | 156.9321       | 174.8272       | 1.1140         | False
17  | 0.550      | 189.6865       | 245.3953       | 1.2937         | False
18  | 0.430      | 159.1592       | 215.6169       | 1.3547         | False
19  | 0.410      | 163.7932       | 229.6859       | 1.4023         | False
20  | 0.470      | 198.3252       | 272.9185       | 1.3761         | False
21  | 0.360      | 167.1272       | 249.1633       | 1.4909         | False
22  | 0.440      | 211.6021       | 280.0872       | 1.3237         | False
23  | 0.370      | 192.3506       | 282.0250       | 1.4662         | False
24  | 0.430      | 232.5646       | 323.3434       | 1.3903         | False
25  | 0.440      | 250.4728       | 334.8835       | 1.3370         | False
26  | 0.360      | 218.8358       | 346.0416       | 1.5813         | False
27  | 0.390      | 245.0284       | 353.4662       | 1.4426         | False
28  | 0.330      | 223.0645       | 358.3069       | 1.6063         | False
29  | 0.370      | 255.7079       | 395.1590       | 1.5454         | False
30  | 0.420      | 302.7848       | 419.2955       | 1.3848         | False
31  | 0.410      | 308.8735       | 461.1078       | 1.4929         | False
32  | 0.350      | 275.3732       | 430.8382       | 1.5646         | False
33  | 0.350      | 287.5238       | 447.1674       | 1.5552         | False
34  | 0.360      | 306.4770       | 465.0727       | 1.5175         | False
35  | 0.360      | 315.9261       | 507.2957       | 1.6057         | False
36  | 0.380      | 347.0517       | 527.1331       | 1.5189         | False
37  | 0.320      | 306.6763       | 492.1428       | 1.6048         | False
38  | 0.370      | 360.9104       | 564.1410       | 1.5631         | False
39  | 0.400      | 402.8270       | 582.4579       | 1.4459         | False
40  | 0.390      | 406.1336       | 622.0239       | 1.5316         | False
41  | 0.330      | 358.2105       | 573.2248       | 1.6002         | False
